Length 8, number of unique variants is 518.
ccrctlcl	[ctlcrccr,ccrctlcl,ctrclccl,cclctrcr]
ccrctlcr	[ctlcrccl,ccrctlcr,ctrclccr,cclctrcl]
ccrctlct	[ctlcrcct,ccrctlct,ctrclcct,cclctrct]
ctcttcrc	[ctcttclc,clcttctc,ctcttcrc,crcttctc]
cctcctct	[ctcctcct,cctcctct,ctcctcct,cctcctct]
cctccrrr	[cctcclll,cctccrrr,cctccrrr,cctcclll]
cctrrctc	[ctctllcc,cctllctc,ctctrrcc,cctrrctc]
ctctrctl	[ctlctctl,ctctlctr,ctrctctr,ctctrctl]
ctrcrrrc	[clllctlc,ctlclllc,crrrctrc,ctrcrrrc]
cctcctcc	[cctcctcc,cctcctcc,cctcctcc,cctcctcc]
cctrrctt	[ctllcctt,cctllctt,ctrrcctt,cctrrctt]
ctctrctt	[ctlctctt,ctctlctt,ctrctctt,ctctrctt]
cctcctcr	[ctcctccl,cctcctcr,ctcctccr,cctcctcl]
ctctrctr	[ctlctctr,ctctlctl,ctrctctl,ctctrctr]
ccrcrctl	[clclcctl,cclclctr,crcrcctr,ccrcrctl]
crcrrclc	[clcllcrc,crcllclc,crcrrclc,clcrrcrc]
ccrcrctr	[clclcctr,cclclctl,crcrcctl,ccrcrctr]
ccrcrctt	[clclcctt,cclclctt,crcrcctt,ccrcrctt]
ccrcrctc	[ctclclcc,cclclctc,ctcrcrcc,ccrcrctc]
ctccttrc	[cttlcctc,ctccttlc,cttrcctc,ctccttrc]
ccttccrr	[ccttccll,ccttccrr,ccttccrr,ccttccll]
ctccrrcl	[cllcctcl,ctccllcr,crrcctcr,ctccrrcl]
ctcctttc	[ctttcctc,ctcctttc,ctttcctc,ctcctttc]
ctttcttt	[ctttcttt,ctttcttt,ctttcttt,ctttcttt]
crcrrcrr	[cllclcrr,clcllcll,crrcrcll,crcrrcrr]
ctttcttr	[ctttcttl,ctttcttr,ctttcttr,ctttcttl]
ctccrrct	[cllcctct,ctccllct,crrcctct,ctccrrct]
crcrrcrc	[clcllclc,clcllclc,crcrrcrc,crcrrcrc]
ctccrrcr	[cllcctcr,ctccllcl,crrcctcl,ctccrrcr]
ctctrcrc	[ctctlclc,clctlctc,ctctrcrc,crctrctc]
ctrcllcl	[ctlcrrcr,crrctlcl,ctrcllcl,cllctrcr]
cctccttc	[cttcctcc,cctccttc,cttcctcc,cctccttc]
cctrrcct	[cctllcct,cctllcct,cctrrcct,cctrrcct]
ctrcllct	[ctlcrrct,crrctlct,ctrcllct,cllctrct]
cctrrccr	[cctllccl,cctllccr,cctrrccr,cctrrccl]
ctrcllcr	[ctlcrrcl,crrctlcr,ctrcllcr,cllctrcl]
cttccrcl	[cttcclcr,clccttcl,cttccrcl,crccttcr]
cttccrcr	[cttcclcl,clccttcr,cttccrcr,crccttcl]
cttccrct	[cttcclct,clccttct,cttccrct,crccttct]
crcllcll	[cllcrcrr,crcllcll,crrclcll,clcrrcrr]
crcttcrc	[clcttclc,clcttclc,crcttcrc,crcttcrc]
ccrcrcrr	[clclccrr,cclclcll,crcrccll,ccrcrcrr]
ctccrrrc	[clllcctc,ctcclllc,crrrcctc,ctccrrrc]
ctcctctc	[ctctcctc,ctcctctc,ctctcctc,ctcctctc]
ccrcrcrc	[clclclcc,cclclclc,crcrcrcc,ccrcrcrc]
ccttcctr	[ccttcctl,ccttcctr,ccttcctr,ccttcctl]
ccttcctt	[ccttcctt,ccttcctt,ccttcctt,ccttcctt]
ccttccrc	[clccttcc,ccttcclc,crccttcc,ccttccrc]
ctttctrr	[ctttctll,ctttctrr,ctttctrr,ctttctll]
crcrrcll	[cllclcll,clcllcrr,crrcrcrr,crcrrcll]
ctttctrc	[ctlctttc,ctttctlc,ctrctttc,ctttctrc]
crcttclc	[clcttcrc,crcttclc,crcttclc,clcttcrc]
ctrcrrcr	[ctlcllcl,cllctlcr,ctrcrrcr,crrctrcl]
ctctrctc	[ctctlctc,ctctlctc,ctctrctc,ctctrctc]
ctrcrrct	[ctlcllct,cllctlct,ctrcrrct,crrctrct]
cctccrrc	[cllcctcc,cctccllc,crrcctcc,cctccrrc]
ctrcrrcl	[ctlcllcr,cllctlcl,ctrcrrcl,crrctrcr]
cctccrcc	[cctcclcc,cclcctcc,cctccrcc,ccrcctcc]
cctccrcr	[clcctccr,cctcclcl,crcctccl,cctccrcr]
ctctrcll	[ctlctcll,ctctlcrr,ctrctcrr,ctctrcll]
cctccrct	[clcctcct,cctcclct,crcctcct,cctccrct]
cttrccrc	[cttlcclc,clccttlc,cttrccrc,crccttrc]
cctccrcl	[clcctccl,cctcclcr,crcctccr,cctccrcl]
ccrclccl	[cclcrccr,ccrclccl,ccrclccl,cclcrccr]
ccrclccr	[cclcrccl,ccrclccr,ccrclccr,cclcrccl]
ccrcrcll	[clclccll,cclclcrr,crcrccrr,ccrcrcll]
ccrclcct	[cclcrcct,ccrclcct,ccrclcct,cclcrcct]
ctcctcrc	[ctcctclc,clctcctc,ctcctcrc,crctcctc]
ccttctrr	[cttcctll,ccttctrr,cttcctrr,ccttctll]
ccrcrclc	[clcrcrcc,ccrcrclc,crclclcc,cclclcrc]
ccttcctc	[ctccttcc,ccttcctc,ctccttcc,ccttcctc]
ctcctctr	[ctcctctl,ctcctctr,ctcctctr,ctcctctl]
ctcctctt	[ctcctctt,ctcctctt,ctcctctt,ctcctctt]
cttrcclc	[cttlccrc,crccttlc,cttrcclc,clccttrc]
ctrcctlc	[ctlcctrc,ctrcctlc,ctrcctlc,ctlcctrc]
ctctrcrr	[ctlctcrr,ctctlcll,ctrctcll,ctctrcrr]
ctrctrrc	[ctllctlc,ctlctllc,ctrrctrc,ctrctrrc]
crrccrrc	[cllccllc,cllccllc,crrccrrc,crrccrrc]
cttrctlc	[cttlctrc,ctrcttlc,cttrctlc,ctlcttrc]
ccrclctl	[clcrcctr,ccrclctl,crclcctl,cclcrctr]
ccrclctr	[clcrcctl,ccrclctr,crclcctr,cclcrctl]
ccrclctt	[clcrcctt,ccrclctt,crclcctt,cclcrctt]
ccttcttr	[cttccttl,ccttcttr,cttccttr,ccttcttl]
ccrclctc	[ctclcrcc,ccrclctc,ctcrclcc,cclcrctc]
ccttcttt	[cttccttt,ccttcttt,cttccttt,ccttcttt]
ccttcttc	[cttcttcc,ccttcttc,cttcttcc,ccttcttc]
ccttctrc	[ctlcttcc,ccttctlc,ctrcttcc,ccttctrc]
ctcctcrr	[ctcctcll,ctcctcrr,ctcctcrr,ctcctcll]
ctttcrrr	[ctttclll,ctttcrrr,ctttcrrr,ctttclll]
ctttcrrc	[cllctttc,ctttcllc,crrctttc,ctttcrrc]
crctrcrc	[clctlclc,clctlclc,crctrcrc,crctrcrc]
ctctrclc	[ctctlcrc,crctlctc,ctctrclc,clctrctc]
ctrcrcrr	[ctlclcll,clctlcrr,ctrcrcrr,crctrcll]
cctrcclc	[clcctrcc,cctrcclc,crcctlcc,cctlccrc]
cttrctrc	[cttlctlc,ctlcttlc,cttrctrc,ctrcttrc]
crcclcll	[clccrcrr,crcclcll,crcclcll,clccrcrr]
ctrcrcrc	[ctlclclc,clclctlc,ctrcrcrc,crcrctrc]
crcclclc	[clclccrc,crcclclc,crcrcclc,clccrcrc]
cttrctrr	[cttlctll,cttlctrr,cttrctrr,cttrctll]
ccrcllct	[cllcrcct,ccrcllct,crrclcct,cclcrrct]
ccrcllcc	[ccllcrcc,ccrcllcc,ccrrclcc,cclcrrcc]
ccrcttrc	[cttlclcc,cclcttlc,cttrcrcc,ccrcttrc]
ccttctcr	[ctcttccl,ccttctcr,ctcttccr,ccttctcl]
ctccrctt	[ctcclctt,clcctctt,ctccrctt,crcctctt]
ccttctct	[ctcttcct,ccttctct,ctcttcct,ccttctct]
ccttcrrr	[cttcclll,ccttcrrr,cttccrrr,ccttclll]
ctccrctc	[ctclcctc,ctcclctc,ctcrcctc,ctccrctc]
ccttcrrc	[cllcttcc,ccttcllc,crrcttcc,ccttcrrc]
ccrcrrcl	[cllclccl,cclcllcr,crrcrccr,ccrcrrcl]
crctrclc	[clctlcrc,crctlclc,crctrclc,clctrcrc]
ccrcrrcr	[cllclccr,cclcllcl,crrcrccl,ccrcrrcr]
crrclllc	[clllcrrc,crrclllc,crrrcllc,cllcrrrc]
cctrccrr	[cctlccll,cctlccrr,cctrccrr,cctrccll]
cttrcttr	[cttlcttl,cttlcttr,cttrcttr,cttrcttl]
ctrcrctt	[ctlclctt,clctlctt,ctrcrctt,crctrctt]
cctrccrc	[clcctlcc,cctlcclc,crcctrcc,cctrccrc]
ctrcrctl	[ctlclctr,clctlctl,ctrcrctl,crctrctr]
ctrcrctr	[ctlclctl,clctlctr,ctrcrctr,crctrctl]
crcclcrr	[clccrcll,crcclcrr,crcclcrr,clccrcll]
cttrcttt	[cttlcttt,cttlcttt,cttrcttt,cttrcttt]
crcclcrc	[clcrcclc,clccrclc,crclccrc,crcclcrc]
ccrctctl	[ctclcctl,cclctctr,ctcrcctr,ccrctctl]
ccrctctr	[ctclcctr,cclctctl,ctcrcctl,ccrctctr]
ccrctctt	[ctclcctt,cclctctt,ctcrcctt,ccrctctt]
ccrctctc	[ctctclcc,cclctctc,ctctcrcc,ccrctctc]
ccrcrrrc	[clllclcc,cclclllc,crrrcrcc,ccrcrrrc]
ccrcttlc	[cttlcrcc,ccrcttlc,cttrclcc,cclcttrc]
ctccrcrr	[ctcclcll,clcctcrr,ctccrcrr,crcctcll]
ctccrcrc	[ctcclclc,clclcctc,ctccrcrc,crcrcctc]
ctttcrcl	[ctttclcr,clctttcl,ctttcrcl,crctttcr]
ctccrctl	[ctcclctr,clcctctl,ctccrctl,crcctctr]
ctttcrct	[ctttclct,clctttct,ctttcrct,crctttct]
ctccrctr	[ctcclctl,clcctctr,ctccrctr,crcctctl]
ctttcrcr	[ctttclcl,clctttcr,ctttcrcr,crctttcl]
ccrcllcl	[cllcrccr,ccrcllcl,crrclccl,cclcrrcr]
ccrcllcr	[cllcrccl,ccrcllcr,crrclccr,cclcrrcl]
crcclctr	[clccrctl,crcclctr,crcclctr,clccrctl]
crcclctl	[clccrctr,crcclctl,crcclctl,clccrctr]
cctrcctt	[cctlcctt,cctlcctt,cctrcctt,cctrcctt]
cctrcctc	[ctcctlcc,cctlcctc,ctcctrcc,cctrcctc]
cctrcctr	[cctlcctl,cctlcctr,cctrcctr,cctrcctl]
cctrctll	[ctlcctll,cctlctrr,ctrcctrr,cctrctll]
cttrcrrr	[cttlclll,cttlcrrr,cttrcrrr,cttrclll]
cctrctlc	[ctlctrcc,cctrctlc,ctrctlcc,cctlctrc]
ctrclllc	[clllctrc,ctrclllc,crrrctlc,ctlcrrrc]
crcclctt	[clccrctt,crcclctt,crcclctt,clccrctt]
crrcllct	[cllcrrct,crrcllct,crrcllct,cllcrrct]
cttrcrrc	[cttlcllc,cllcttlc,cttrcrrc,crrcttrc]
ctrctclc	[ctlctcrc,crctctlc,ctrctclc,clctctrc]
crrcllcr	[cllcrrcl,crrcllcr,crrcllcr,cllcrrcl]
crrcllcl	[cllcrrcr,crrcllcl,crrcllcl,cllcrrcr]
ccttcrcl	[clcttccl,ccttclcr,crcttccr,ccttcrcl]
ccrctcrr	[ctclccrr,cclctcll,ctcrccll,ccrctcrr]
ccttcrcr	[clcttccr,ccttclcl,crcttccl,ccttcrcr]
ccttcrct	[clcttcct,ccttclct,crcttcct,ccttcrct]
ccrctcrc	[clctclcc,cclctclc,crctcrcc,ccrctcrc]
ctccrcll	[ctcclcrr,clcctcll,ctccrcll,crcctcrr]
ccttcrcc	[ccttclcc,cclcttcc,ccttcrcc,ccrcttcc]
ctccrclc	[ctcclcrc,crclcctc,ctccrclc,clcrcctc]
crctlcrc	[clctrclc,clctrclc,crctlcrc,crctlcrc]
cctrctrc	[ctlctlcc,cctlctlc,ctrctrcc,cctrctrc]
crrcrrrc	[clllcllc,cllclllc,crrrcrrc,crrcrrrc]
cctrctrr	[ctlcctrr,cctlctll,ctrcctll,cctrctrr]
ctrctcrc	[ctlctclc,clctctlc,ctrctcrc,crctctrc]
crrcrrcr	[cllcllcl,cllcllcr,crrcrrcr,crrcrrcl]
crrcrrct	[cllcllct,cllcllct,crrcrrct,crrcrrct]
cttrcllc	[cttlcrrc,crrcttlc,cttrcllc,cllcttrc]
crccrclc	[clcrccrc,crccrclc,crclcclc,clcclcrc]
ccrcrccr	[cclclccl,cclclccr,ccrcrccr,ccrcrccl]
ccrctcll	[ctclccll,cclctcrr,ctcrccrr,ccrctcll]
ccrcrcct	[cclclcct,cclclcct,ccrcrcct,ccrcrcct]
ccrclllc	[clllcrcc,ccrclllc,crrrclcc,cclcrrrc]
ccrctclc	[clctcrcc,ccrctclc,crctclcc,cclctcrc]
cctrcttl	[ctlccttl,cctlcttr,ctrccttr,cctrcttl]
crccrcrr	[clcclcll,clcclcrr,crccrcrr,crccrcll]
cctrcttc	[cttctlcc,cctlcttc,cttctrcc,cctrcttc]
cctrcttr	[ctlccttr,cctlcttl,ctrccttl,cctrcttr]
cctrcttt	[ctlccttt,cctlcttt,ctrccttt,cctrcttt]
crctcrcr	[clctclcl,clctclcr,crctcrcr,crctcrcl]
cttrcrct	[cttlclct,clcttlct,cttrcrct,crcttrct]
crctcrct	[clctclct,clctclct,crctcrct,crctcrct]
cctcrccl	[cctclccr,cclctccl,cctcrccl,ccrctccr]
cttrcrcr	[cttlclcl,clcttlcr,cttrcrcr,crcttrcl]
cttrcrcl	[cttlclcr,clcttlcl,cttrcrcl,crcttrcr]
crcrctrr	[clclctll,clclctrr,crcrctrr,crcrctll]
cctcrctr	[clctcctr,cctclctl,crctcctl,cctcrctr]
cctcrctl	[clctcctl,cctclctr,crctcctr,cctcrctl]
cctcrctc	[ctclctcc,cctclctc,ctcrctcc,cctcrctc]
cctcrctt	[clctcctt,cctclctt,crctcctt,cctcrctt]
crctcllc	[cllctcrc,crctcllc,crrctclc,clctcrrc]
ctrcclcr	[ctlccrcl,crcctlcr,ctrcclcr,clcctrcl]
ctrcclcl	[ctlccrcr,crcctlcl,ctrcclcl,clcctrcr]
cctcrcct	[cctclcct,cclctcct,cctcrcct,ccrctcct]
cctcrccr	[cctclccl,cclctccr,cctcrccr,ccrctccl]
ctrcclct	[ctlccrct,crcctlct,ctrcclct,clcctrct]
cttrclct	[cttlcrct,crcttlct,cttrclct,clcttrct]
cttrclcr	[cttlcrcl,crcttlcr,cttrclcr,clcttrcl]
crctcrrc	[cllctclc,clctcllc,crrctcrc,crctcrrc]
ccttrclc	[clcttrcc,ccttrclc,crcttlcc,ccttlcrc]
cttrclcl	[cttlcrcr,crcttlcl,cttrclcl,clcttrcr]
ccttrcll	[cttlccll,ccttlcrr,cttrccrr,ccttrcll]
crcrrrcr	[clllclcr,clclllcl,crrrcrcl,crcrrrcr]
crcrrrcl	[clllclcl,clclllcr,crrrcrcr,crcrrrcl]
crcrrrct	[clllclct,clclllct,crrrcrct,crcrrrct]
cctctcrr	[ctctccll,cctctcrr,ctctccrr,cctctcll]
cctctcrc	[clctctcc,cctctclc,crctctcc,cctctcrc]
cctctccr	[cctctccl,cctctccr,cctctccr,cctctccl]
ccttrcrc	[clcttlcc,ccttlclc,crcttrcc,ccttrcrc]
ccttrcrr	[cttlccrr,ccttlcll,cttrccll,ccttrcrr]
ccttrctl	[cttlcctl,ccttlctr,cttrcctr,ccttrctl]
cctctctt	[ctctcctt,cctctctt,ctctcctt,cctctctt]
cctctctr	[ctctcctl,cctctctr,ctctcctr,cctctctl]
cctctctc	[ctctctcc,cctctctc,ctctctcc,cctctctc]
cctcrrrc	[clllctcc,cctclllc,crrrctcc,cctcrrrc]
cctcrrcl	[cllctccl,cctcllcr,crrctccr,cctcrrcl]
cctcrrct	[cllctcct,cctcllct,crrctcct,cctcrrct]
ctrcctrc	[ctlcctlc,ctlcctlc,ctrcctrc,ctrcctrc]
cctcrrcr	[cllctccr,cctcllcl,crrctccl,cctcrrcr]
ctrctllc	[ctllctrc,ctrctllc,ctrrctlc,ctlctrrc]
ccrclcrr	[clcrccll,ccrclcrr,crclccrr,cclcrcll]
ccttrctc	[ctcttlcc,ccttlctc,ctcttrcc,ccttrctc]
ccttrctt	[cttlcctt,ccttlctt,cttrcctt,ccttrctt]
ccrclcrc	[clcrclcc,cclcrclc,crclcrcc,ccrclcrc]
ccttrctr	[cttlcctr,ccttlctl,cttrcctl,ccttrctr]
ccttrccr	[ccttlccl,ccttlccr,ccttrccr,ccttrccl]
ctrrctrr	[ctllctll,ctllctrr,ctrrctrr,ctrrctll]
ctrctrct	[ctlctlct,ctlctlct,ctrctrct,ctrctrct]
cctctcct	[cctctcct,cctctcct,cctctcct,cctctcct]
cctcttrc	[cttlctcc,cctcttlc,cttrctcc,cctcttrc]
